Pick,Round,Player,Team,ADP,StdDev,High,Low,Times,
113,11.1,Jacksonville Defense,DEF,JAX,109.8,15.7,3.02,11.03,36
114,11.1,Eric Ebron,TE,IND,109.9,17.4,7.01,12.1,45
115,12.01,Geronimo Allison,WR,GB,111.3,8.6,7.1,11.04,67
116,12.02,Michael Gallup,WR,DAL,111.6,8.3,7.08,11.07,81
117,12.03,Ben Roethlisberger,QB,PIT,112.9,11.2,7.05,12.01,96
118,12.04,Larry Fitzgerald,WR,ARI,114.2,10.8,6.09,11.1,64
119,12.04,Tom Brady,QB,NE,114.3,17.4,2.12,12.03,76
120,12.04,Adrian Peterson,RB,WAS,114.4,7.6,8.07,11.09,42
121,12.05,Baltimore Defense,DEF,BAL,114.9,11.3,7.04,11.09,27
122,12.06,Peyton Barber,RB,TB,115.5,10.8,7.11,11.12,57
123,12.08,DeSean Jackson,WR,PHI,117.8,8.6,8.04,12.01,55
